x_y_ratio,sa_best_pc,sa_mean_cov,sa_feasible,sqa_best_pc,sqa_mean_cov,sqa_feasible
inf,2.828408861160386e-06,0.5971957364341085,20,0.003219837608668233,0.8247422480620153,20
10.0,4.837291290955007e-05,0.6008354866494401,18,0.003219837608668233,0.8247422480620153,20
1.0,1.0353913033132361e-05,0.5964300285597716,19,0.003219837608668233,0.8247422480620152,20
0.1,0.0002869517131565324,0.595605081826012,18,0.003219837608668233,0.8247422480620152,20
0.0,0.00091663640195893,0.5969607843137252,17,0.003219837608668233,0.8247422480620152,20
