method,best_aggregate_pc,mean_aggregate_pc,std_aggregate_pc,oom_vs_random_best,gs_feasible_pct,best_gs_violations,kraw_pct_exact
Random,1.5465703639971906e-07,0.0034852861216436827,0.0034065464650677225,4.352868753142759,100.0,0,100.0
SA,1.384878893784247e-07,0.002254924927834305,0.0016175892511409492,4.400826640477936,100.0,0,0.0
SQA,2.201053989070445e-07,0.0022142230938805717,0.0018851692856605953,4.199607741560798,100.0,0,0.0
