method,best_pc,mean_pc,best_cov_norm,mean_cov_norm,n_feasible
Random,1.546570364404215e-07,0.00348528612164368,0.6402713178294573,0.5939806201550387,50
SA,1.0353913033132361e-05,0.0029131181881115933,0.6355426356589146,0.5947919632969465,49
SQA,0.0009536984755004947,0.007195420062520398,0.8494573643410851,0.8263999999999997,50
